,Latitude,Longitude,magnitude
462,41.874060099,-87.705924314,29.0
463,41.803851632,-87.606443973,51.0
464,41.876672314,-87.624279904,51.0
465,41.882093928,-87.635313686,46.0
466,41.882394062,-87.627844798,57.0
467,41.747945219,-87.663373404,56.0
468,41.879097968,-87.632283818,46.0
469,41.879097968,-87.632283818,43.0
470,41.888287838,-87.633986574,41.0
471,41.891465732,-87.624153044,40.0
472,41.979006297,-87.906463155,39.0
473,41.74536334,-87.601380296,54.0
474,41.770972006,-87.58501814,41.0
475,41.882104019,-87.684778173,22.0
476,41.830859172,-87.614478749,17.0
477,41.880263631,-87.763607487,19.0
478,41.727503622,-87.606173276,50.0
479,41.891948167,-87.628073894,39.0
480,41.880362084,-87.755847438,47.0
481,41.924167633,-87.751891871,43.0
482,41.770702367,-87.569896036,50.0
483,41.824774034,-87.607322715,61.0
484,41.911124622,-87.637932903,53.0
485,41.964126088,-87.676074713,55.0
486,41.740897806,-87.606047831,52.0
487,41.741416778,-87.712270123,51.0
488,41.943411038,-87.726089896,58.0
489,41.979962633,-87.806978658,35.0
490,41.756091788,-87.632341337,61.0
491,41.749097157,-87.626169277,34.0
492,41.750850677,-87.562578351,43.0
493,41.882834231,-87.633855092,27.0
494,41.752006965,-87.641635681,23.0
495,41.944546322,-87.642907067,18.0
496,41.955841635,-87.769537743,17.0
497,41.781870179,-87.597859754,23.0
498,41.866810739,-87.625817031,14.0
499,41.809605957,-87.669858348,36.0
500,41.887999573,-87.774196498,31.0
501,41.702929505,-87.637855424,28.0
502,41.866996231,-87.62741936,54.0
503,41.893983593,-87.634677382,42.0
504,41.953021018,-87.727597867,58.0
505,41.943504826,-87.658356351,60.0
506,41.79221937,-87.683994549,44.0
507,41.737473519,-87.604844389,28.0
508,41.807068516,-87.750479736,40.0
509,41.976762981,-87.900983721,46.0
510,41.763066846,-87.623248524,19.0
511,42.001948552,-87.692432819,9.0
512,41.763547896,-87.565351419,12.0
513,41.874520022,-87.754846231,19.0
514,41.774612074,-87.594522247,24.0
515,41.673464549,-87.635749572,29.0
516,41.743313588,-87.606606854,42.0
517,41.753749428,-87.552128115,33.0
518,41.753120521,-87.562624493,46.0
519,41.797471952,-87.633075129,24.0
520,41.883500187,-87.627876698,29.0
521,41.838799701,-87.695072506,23.0
522,41.851252162,-87.676879145,16.0
523,41.86821682,-87.6304532,12.0
524,41.866810739,-87.625817031,35.0
525,41.728226861,-87.552855036,22.0
526,41.923392734,-87.677826806,33.0
527,41.85775341,-87.668784595,39.0
528,41.867430279,-87.626155308,42.0
529,41.726269511,-87.604571673,49.0
530,41.922786529,-87.645045119,37.0
531,41.873907386,-87.757991096,48.0
532,41.884335468,-87.619164088,36.0
533,41.851670301,-87.714122759,29.0
534,41.788987036,-87.74147999,28.0
535,41.961820273,-87.651489727,30.0
536,41.961820273,-87.651489727,12.0
537,41.742710224,-87.634088181,18.0
538,41.895675136,-87.628569146,16.0
539,41.882839503,-87.702019291,68.0
540,41.75037215,-87.662127829,50.0
541,41.956087835,-87.712980657,65.0
542,41.943475489,-87.660370957,45.0
543,41.905545935,-87.683431561,50.0
544,41.891023035,-87.619141016,49.0
545,41.764778049,-87.676555423,50.0
546,41.814884558,-87.704242474,45.0
547,41.755117151,-87.66355537,59.0
548,41.932831201,-87.643353162,63.0
549,41.897895128,-87.624096605,57.0
550,41.940318272,-87.644408194,58.0
551,41.880555673,-87.620774171,51.0
552,41.800331528,-87.596662122,34.0
553,41.940387355,-87.767542077,43.0
554,41.893983593,-87.634677382,55.0
555,41.764349018,-87.673521113,39.0
556,41.920902291,-87.720291983,53.0
557,41.931582515,-87.742747165,61.0
558,41.801792553,-87.676947772,50.0
559,41.896714548,-87.625340136,47.0
560,42.011586386,-87.66457683,45.0
561,41.933582379,-87.645517082,47.0
562,41.808659638,-87.660969527,31.0
563,41.95249227,-87.712861121,52.0
564,41.736259984,-87.628068782,43.0
565,41.896316846,-87.652142861,34.0
566,41.897895128,-87.624096605,34.0
567,41.793933212,-87.672689707,31.0
568,41.795242798,-87.654893803,19.0
569,41.799808989,-87.723350952,17.0
570,41.878260207,-87.625448401,6.0
571,41.874077392,-87.674225948,44.0
572,41.765533359,-87.722433103,47.0
573,41.990615196,-87.683188577,24.0
574,41.837871585,-87.623435005,56.0
575,41.76559446,-87.621050648,28.0
576,41.896375946,-87.6242787,25.0
577,41.910374897,-87.630181927,14.0
578,41.756265087,-87.67749251,8.0
579,41.778341753,-87.676318055,14.0
580,41.957459538,-87.653308301,8.0
581,41.974893932,-87.69054175,17.0
582,41.877469064,-87.648395724,25.0
583,41.877517962,-87.689091344,43.0
584,41.963070794,-87.655984213,36.0
585,41.847396072,-87.678731657,38.0
586,41.875155116,-87.667906709,53.0
587,41.737814066,-87.624186291,42.0
588,41.758125035,-87.605376887,50.0
589,41.84948241,-87.706403108,36.0
590,41.77609331,-87.711668055,38.0
591,41.917546362,-87.690728102,30.0
592,41.749053265,-87.55770028,58.0
593,41.880354393,-87.627731367,39.0
594,41.884498005,-87.625915709,44.0
595,41.882553868,-87.624383802,33.0
596,41.899410159,-87.624131266,24.0
597,41.881713034,-87.75327943,25.0
598,41.791160785,-87.579836586,20.0
599,41.754592961,-87.741528537,20.0
600,41.755501774,-87.636855678,20.0
601,41.751719202,-87.663469758,28.0
602,41.880773152,-87.721810393,28.0
603,41.751290896,-87.60481278,15.0
604,41.893140033,-87.624204307,19.0
605,41.754592961,-87.741528537,31.0
606,41.736264617,-87.627929503,20.0
607,41.736345716,-87.585636406,50.0
608,41.892017399,-87.624165306,46.0
609,41.97443857,-87.81119077,53.0
610,41.909664252,-87.742728815,50.0
611,41.721394792,-87.648612493,46.0
612,41.896690577,-87.653619125,56.0
613,41.72852756,-87.662150113,52.0
614,41.853076215,-87.677205525,40.0
615,41.938296193,-87.722540176,65.0
616,41.896375946,-87.6242787,44.0
617,41.893255946,-87.629216452,36.0
618,41.90551177,-87.673590473,46.0
619,41.741304411,-87.659690327,25.0
620,41.677161987,-87.619347092,17.0
621,41.818576901,-87.60810075,51.0
622,41.765755571,-87.576292427,17.0
623,41.768705444,-87.732256504,9.0
624,41.97551745,-87.729569215,23.0
625,41.750490827,-87.654302474,19.0
626,41.749423818,-87.607263538,22.0
627,42.002795364,-87.663395916,32.0
628,41.910377001,-87.631871862,12.0
629,41.921648217,-87.659946308,10.0
630,41.836428389,-87.72433908,15.0
631,41.760312162,-87.688018229,27.0
632,41.753906366,-87.611358003,28.0
633,41.795190552,-87.588007653,45.0
634,41.75231021,-87.654286963,44.0
635,41.922750548,-87.644994062,54.0
636,41.776933681,-87.590257484,35.0
637,41.793879773,-87.677732608,21.0
638,41.874574414,-87.757478407,54.0
639,41.703302989,-87.708608815,46.0
640,41.878222138,-87.627288482,29.0
641,41.797464447,-87.729409683,22.0
642,41.913969279,-87.758274396,16.0
643,41.88360569,-87.707634031,13.0
644,41.880383764,-87.754158071,11.0
645,41.903478069,-87.631433102,12.0
646,41.873372456,-87.713212037,21.0
647,42.018498254,-87.672983233,26.0
648,41.935335627,-87.655153142,29.0
649,41.747318382,-87.562521662,57.0
650,41.809996795,-87.616604776,60.0
651,41.873981228,-87.751946738,46.0
652,41.992486727,-87.776634099,46.0
653,41.970609768,-87.71953979,16.0
654,41.766159187,-87.65171433,45.0
655,41.889203826,-87.631640804,44.0
656,41.826348233,-87.611953567,56.0
657,42.014981414,-87.667017795,42.0
658,41.78701723,-87.645505595,45.0
659,41.894898559,-87.759720016,37.0
660,41.853930752,-87.623841071,48.0
661,41.853930752,-87.623841071,41.0
662,41.821714333,-87.703108019,32.0
663,41.755518238,-87.647806452,33.0
664,41.770711832,-87.58257605,51.0
665,41.984830363,-87.713437327,25.0
666,41.879734548,-87.644056852,23.0
667,41.97636199,-87.793919639,38.0
668,41.976229855,-87.791500882,54.0
669,42.014443488,-87.68619154,47.0
670,41.754592961,-87.741528537,46.0
671,41.721194359,-87.663966368,14.0
672,41.75319928,-87.653808492,36.0
673,41.784732216,-87.646127681,39.0
674,41.975743027,-87.752548319,22.0
675,41.907031639,-87.640890514,25.0
676,41.996254158,-87.700807641,19.0
677,41.855986476,-87.717594001,21.0
678,42.007863713,-87.668560171,13.0
679,41.761374517,-87.560047985,14.0
680,41.920086604,-87.67029509,40.0
681,41.879893301,-87.627721751,24.0
682,41.884650262,-87.627915459,50.0
683,41.836385231,-87.66571041,55.0
684,41.902365801,-87.716854733,63.0
685,41.897895128,-87.624096605,13.0
686,41.892509386,-87.626069718,48.0
687,41.755929033,-87.657389725,67.0
688,41.900179235,-87.673505784,58.0
689,41.882831487,-87.633855122,61.0
690,41.890728191,-87.68266361,51.0
691,41.917532812,-87.750952708,60.0
692,41.922707581,-87.680876333,60.0
693,41.952750137,-87.802019072,55.0
694,41.767504543,-87.571440534,46.0
695,42.018311737,-87.675866628,57.0
696,41.7797436,-87.609565055,31.0
697,41.790872026,-87.606143261,16.0
698,41.886146944,-87.624524028,14.0
699,41.857806358,-87.654842294,25.0
700,41.944539064,-87.647648907,42.0
701,41.880801543,-87.625475434,8.0
702,41.809297059,-87.591967028,16.0
703,41.91068922,-87.695774944,60.0
704,41.705042318,-87.648771375,66.0
705,41.872578827,-87.627548862,50.0
706,41.776886079,-87.718747164,56.0
707,41.799978827,-87.606344711,68.0
708,41.685240379,-87.629427999,56.0
709,41.886735874,-87.652465,42.0
710,41.861626117,-87.625697981,59.0
711,41.900017769,-87.623426629,45.0
712,41.730087889,-87.550491518,44.0
713,41.891527458,-87.662279107,56.0
714,41.773780824,-87.645848665,47.0
715,41.861129306,-87.625681432,30.0
716,41.895971375,-87.686849035,17.0
717,41.897332938,-87.624157922,35.0
718,41.742710224,-87.634088181,9.0
719,41.750154295,-87.661008708,10.0
720,41.92384641,-87.646521939,20.0
721,41.920735482,-87.663887534,17.0
722,41.883938904,-87.696364123,41.0
723,41.978526568,-87.75708711,51.0
724,41.895896023,-87.677913394,54.0
725,41.968305606,-87.722294037,48.0
726,41.891199446,-87.624137626,40.0
727,41.884498186,-87.625945086,47.0
728,41.767664563,-87.656610393,43.0
729,41.897895128,-87.624096605,40.0
730,41.875679322,-87.62657476,45.0
731,41.976083984,-87.649995274,9.0
732,41.967363903,-87.720666726,6.0
